Generated On,Energy Yield (kWh),Irradiance(W/m²,Temp ( C ),Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2019-11-25	",991.27,12909,25.7,2.6,12,3965.08,22.224,16
"2019-11-26	",1070.73,13145,26.3,1.7,16,4282.92,29.632,8
"2019-11-27	",758.25,9405,26.5,2.3,10,3033,18.52,9
"2019-11-28	",1145.18,13431,26.4,9,12,4580.72,22.224,9
"2019-11-29	",892.59,11491,26.7,13.7,18,3570.36,33.336,10
"2019-11-30	",1131.11,13839,26.3,2.1,15,4524.44,27.78,9
"2019-12-01	",1079.52,15354,26.9,0,11,4318.08,20.372,11
"2019-12-02	",1497.8,19620,27.2,0.4,5,5991.2,9.26,11
"2019-12-03	",840.6,10483,25.8,8.5,15,3362.4,27.78,15
"2019-12-04	",843.44,9876,25,2.7,11,3373.76,20.372,14
"2019-12-05	",1041.79,13155,25.4,6.4,11,4167.16,20.372,16
"2019-12-06	",892.78,10889,25,0,22,3571.12,40.744,19
"2019-12-07	",1097.64,13657,24.2,1.4,18,4390.56,33.336,22
"2019-12-08	",784.73,9097,24.1,6.1,10,3138.92,18.52,22
"2019-12-09	",951.9,11484,24.8,0,19,3807.6,35.18,23
"2019-12-10	",1290.15,14976,25.1,0,15,5160.6,27.78,22
"2019-12-11	",1593.46,21095,25.6,0,16,6373.84,29.632,17
"2019-12-12	",1296.68,16660,25.8,0,16,5186.72,29.632,19
"2019-12-13	",1259.81,15725,25.7,0,12,5039.24,22.224,18
"2019-12-14	",1163.86,16262,26.2,0,15,4655.44,27.78,19
"2019-12-15	",492.17,5384,25.8,18.1,17,1968.68,31.484,17
"2019-12-16	",887.39,11224,26,3,10,3549.56,18.52,16
"2019-12-17	",619.59,7945,26.2,0,12,2478.36,22.224,16
"2019-12-18	",1139.44,14550,26.6,0,11,4557.76,20.372,17
"2019-12-19	",1312.17,16512,26.4,0.6,11,5248.68,20.372,10
"2019-12-20	",1418.64,19164,26.7,0,12,5674.56,22.224,10
"2019-12-21	",1420.71,18561,26.2,0,14,5682.84,25.928,15
"2019-12-22	",1428.07,18194,26.3,0,10,5712.28,18.52,19
"2019-12-23	",1595.44,21323,26.6,0,12,6381.76,22.224,23
"2019-12-24	",1049,13393,26.5,0,10,4196,18.52,21
"2019-12-25	",1482.09,19657,26.7,0,13,5928.36,24.076,20
"2019-12-26	",1287.68,17094,25.8,0,8,5150.72,14.816,20
"2019-12-27	",1505.32,19606,26.2,0,13,6021.28,24.076,23
"2019-12-28	",1503.45,19944,25.9,0,13,6013.8,24.076,22
"2019-12-29	",1574.88,20065,26,0,9,6299.52,16.668,23
"2019-12-30	",1524.05,19249,26.1,0,12,6096.2,22.224,19
"2019-12-31	",1286.24,18642,26.7,0,13,5144.96,24.076,16
